seq,epoch_start,t_rel_s,latency_ms,status,ok,error
1328,1788581650.387,180.272,549.4,200,True,
1329,1788581650.775,180.659,525.39,200,True,
1330,1788581649.239,179.124,2114.35,200,True,
1331,1788581650.937,180.821,507.49,200,True,
1332,1788581650.809,180.694,635.1,200,True,
1333,1788581650.842,180.727,816.78,200,True,
1334,1788581651.354,181.238,453.6,200,True,
1335,1788581648.407,178.292,3440.32,200,True,
1336,1788581650.775,180.659,1082.65,200,True,
1337,1788581650.755,180.64,1104.23,200,True,
1338,1788581648.875,178.76,3110.78,200,True,
1339,1788581651.807,181.692,455.07,200,True,
1340,1788581651.848,181.732,469.92,200,True,
1341,1788581651.86,181.744,850.65,200,True,
1342,1788581652.262,182.147,570.25,200,True,
1343,1788581649.239,179.124,3654.51,200,True,
1344,1788581651.444,181.329,1482.17,200,True,
1345,1788581649.684,179.568,3285.52,200,True,
1346,1788581651.986,181.871,1003.31,200,True,
1347,1788581651.444,181.329,1626.83,200,True,
1348,1788581652.894,182.778,443.75,200,True,
1349,1788581652.318,182.202,1082.79,200,True,
1350,1788581652.99,182.874,453.59,200,True,
1351,1788581652.71,182.595,942.47,200,True,
1352,1788581653.071,182.956,600.84,200,True,
1353,1788581652.833,182.717,967.36,200,True,
1354,1788581653.337,183.222,510.69,200,True,
1355,1788581650.245,180.129,3722.27,200,True,
1356,1788581651.3,181.185,2770.04,200,True,
1357,1788581651.659,181.544,2410.95,200,True,
1358,1788581652.926,182.811,1148.55,200,True,
1359,1788581653.4,183.285,682.2,200,True,
1360,1788581653.8,183.684,725.94,200,True,
1361,1788581653.672,183.557,860.76,200,True,
1362,1788581654.075,183.96,465.58,200,True,
1363,1788581651.857,181.742,2724.25,200,True,
1364,1788581654.07,183.955,543.1,200,True,
1365,1788581652.969,182.854,1730.36,200,True,
1366,1788581654.07,183.955,781.0,200,True,
1367,1788581653.653,183.537,1249.25,200,True,
1368,1788581653.848,183.733,1236.5,200,True,
1369,1788581653.443,183.328,1641.52,200,True,
1370,1788581654.083,183.967,1052.89,200,True,
1371,1788581654.902,184.787,485.35,200,True,
1372,1788581654.541,184.425,929.98,200,True,
1373,1788581654.533,184.417,1023.53,200,True,
1374,1788581655.085,184.969,539.47,200,True,
1375,1788581654.526,184.41,1118.76,200,True,
1376,1788581654.7,184.584,978.76,200,True,
1377,1788581653.967,183.852,1730.7,200,True,
1378,1788581655.135,185.02,735.15,200,True,
1379,1788581655.085,184.969,789.27,200,True,
1380,1788581654.582,184.466,1375.91,200,True,
1381,1788581654.851,184.736,1259.87,200,True,
1382,1788581655.471,185.355,841.53,200,True,
1383,1788581655.871,185.755,518.21,200,True,
1384,1788581655.957,185.842,496.94,200,True,
1385,1788581655.387,185.272,1092.54,200,True,
1386,1788581655.624,185.509,994.37,200,True,
1387,1788581655.556,185.441,1324.65,200,True,
1388,1788581654.613,184.498,2288.49,200,True,
1389,1788581656.454,186.339,449.48,200,True,
1390,1788581655.645,185.529,1265.87,200,True,
1391,1788581656.48,186.364,455.6,200,True,
1392,1788581656.902,186.786,475.02,200,True,
1393,1788581655.678,185.563,1701.01,200,True,
1394,1788581656.881,186.765,498.43,200,True,
1395,1788581656.91,186.795,518.52,200,True,
1396,1788581655.698,185.582,1887.35,200,True,
1397,1788581656.619,186.503,1060.79,200,True,
1398,1788581657.379,187.264,459.65,200,True,
1399,1788581655.874,185.759,2002.09,200,True,
1400,1788581657.377,187.261,555.15,200,True,
1401,1788581657.429,187.314,736.2,200,True,
1402,1788581657.679,187.564,530.47,200,True,
1403,1788581656.904,186.789,1581.64,200,True,
1404,1788581657.379,187.264,1252.85,200,True,
1405,1788581657.585,187.47,1058.47,200,True,
1406,1788581657.932,187.816,723.95,200,True,
1407,1788581656.111,185.996,2569.92,200,True,
1408,1788581658.165,188.05,805.6,200,True,
1409,1788581656.312,186.197,2756.62,200,True,
1410,1788581658.644,188.528,463.43,200,True,
1411,1788581658.681,188.565,450.25,200,True,
1412,1788581658.632,188.517,509.75,200,True,
1413,1788581657.839,187.724,1325.51,200,True,
1414,1788581658.656,188.54,594.57,200,True,
1415,1788581659.069,188.953,515.31,200,True,
1416,1788581658.971,188.855,778.18,200,True,
1417,1788581658.486,188.371,1262.89,200,True,
1418,1788581656.389,186.273,3388.47,200,True,
1419,1788581656.936,186.82,3042.79,200,True,
1420,1788581659.107,188.992,984.53,200,True,
1421,1788581659.142,189.027,963.47,200,True,
1422,1788581659.131,189.016,1035.02,200,True,
1423,1788581659.164,189.049,1318.87,200,True,
1424,1788581659.749,189.634,738.7,200,True,
1425,1788581660.092,189.976,484.65,200,True,
1426,1788581660.105,189.99,497.49,200,True,
1427,1788581659.584,189.469,1157.55,200,True,
1428,1788581659.978,189.863,803.17,200,True,
1429,1788581659.777,189.662,1065.53,200,True,
1430,1788581657.876,187.761,3063.47,200,True,
1431,1788581658.21,188.094,2833.27,200,True,
1432,1788581660.742,190.626,510.07,200,True,
1433,1788581660.781,190.666,771.37,200,True,
1434,1788581660.483,190.368,1098.82,200,True,
1435,1788581660.488,190.372,1202.33,200,True,
1436,1788581660.941,190.825,831.93,200,True,
1437,1788581661.252,191.136,547.56,200,True,
1438,1788581660.166,190.051,1684.95,200,True,
1439,1788581660.576,190.461,1275.89,200,True,
1440,1788581659.25,189.135,2733.19,200,True,
1441,1788581659.749,189.634,2330.91,200,True,
1442,1788581661.69,191.575,494.17,200,True,
1443,1788581661.553,191.437,1035.93,200,True,
1444,1788581661.773,191.657,816.07,200,True,
1445,1788581662.184,192.069,471.39,200,True,
1446,1788581661.852,191.737,829.67,200,True,
1447,1788581661.582,191.467,1121.39,200,True,
1448,1788581661.799,191.684,975.19,200,True,
1449,1788581660.843,190.727,2001.6,200,True,
1450,1788581660.603,190.487,2350.66,200,True,
1451,1788581661.851,191.736,1120.1,200,True,
1452,1788581661.984,191.868,1004.37,200,True,
1453,1788581662.589,192.473,812.62,200,True,
1454,1788581662.988,192.873,523.25,200,True,
1455,1788581662.589,192.473,984.97,200,True,
1456,1788581662.704,192.588,948.34,200,True,
1457,1788581662.656,192.54,1033.34,200,True,
1458,1788581662.774,192.659,935.52,200,True,
1459,1788581663.401,193.286,452.24,200,True,
1460,1788581661.043,190.928,2898.37,200,True,
1461,1788581663.574,193.458,501.34,200,True,
1462,1788581662.08,191.964,2072.11,200,True,
1463,1788581663.511,193.396,959.69,200,True,
1464,1788581662.682,192.566,1878.78,200,True,
1465,1788581664.075,193.96,508.95,200,True,
1466,1788581663.689,193.573,899.74,200,True,
1467,1788581662.844,192.729,1793.6,200,True,
1468,1788581662.954,192.838,1742.2,200,True,
1469,1788581662.971,192.856,1807.53,200,True,
1470,1788581663.652,193.536,1137.2,200,True,
1471,1788581664.561,194.445,513.13,200,True,
